,,,,,,,,,
mmh_u5,Migration-Hot,Hot,5,Angle3-10-4,"-0.11 (-0.51, 0.27)","0.29 (-0.04, 0.59)","-0.1 (-0.42, 0.16)","0.00176 (0.00108, 0.00235)","-0.00017 (-3e-04, 0)"
mmh_u5,Migration-Hot,Hot,5,Angle2-4-8,"-0.07 (-0.45, 0.28)","-0.15 (-0.46, 0.15)","-0.2 (-0.47, 0.03)","-0.27 (-0.48, -0.04)","0.00023 (0.00016, 3e-04)"
ms_d1,Spatial,Cold,1,Centroid,"0.00022 (5e-05, 0.00038)","9e-05 (-0.00016, 0.00031)","0.00011 (-0.00011, 0.00031)","-0.00012 (-3e-04, 4e-05)","2e-05 (-4e-05, 8e-05)"
ms_d1,Spatial,Cold,1,Line9-10,"0.14 (-0.22, 0.54)","0.00204 (0.00098, 0.0031)","-1e-04 (-7e-04, 5e-04)","2e-05 (-5e-04, 0.00043)","8e-05 (-0.00011, 3e-04)"
ms_d1,Spatial,Cold,1,Angle7-8-9,"0.16 (-0.17, 0.47)","-0.05 (-0.33, 0.25)","0.00228 (0.0014, 0.003)","-0.00028 (-0.00069, 0.00015)","-2e-05 (-0.00018, 0.00017)"
ms_d1,Spatial,Cold,1,Angle3-10-4,"-0.26 (-0.61, 0.09)","-0.01 (-0.35, 0.32)","-0.19 (-0.45, 0.11)","0.00097 (0.00056, 0.00152)","-0.00011 (-0.00024, 3e-05)"
ms_d1,Spatial,Cold,1,Angle2-4-8,"0.12 (-0.22, 0.42)","0.16 (-0.23, 0.49)","-0.03 (-0.26, 0.26)","-0.25 (-0.52, 0.03)","2e-04 (0.00012, 0.00029)"
ms_d2,Spatial,Cold,2,Centroid,"9e-05 (0, 0.00021)","-1e-05 (-0.00018, 0.00016)","-1e-05 (-0.00016, 0.00015)","-6e-05 (-0.00023, 8e-05)","-2e-05 (-8e-05, 5e-05)"
ms_d2,Spatial,Cold,2,Line9-10,"-0.02 (-0.57, 0.62)","0.00127 (0.00053, 0.00205)","0.00069 (2e-04, 0.00122)","0.00011 (-0.00031, 0.00048)","-0.00026 (-0.00045, -8e-05)"
ms_d2,Spatial,Cold,2,Angle7-8-9,"-0.02 (-0.66, 0.48)","0.53 (0.23, 0.81)","0.0014 (0.00069, 0.00224)","0.00024 (-0.00017, 0.00068)","-0.00029 (-0.00047, -1e-04)"
ms_d2,Spatial,Cold,2,Angle3-10-4,"-0.16 (-0.71, 0.36)","0.1 (-0.26, 0.42)","0.19 (-0.14, 0.53)","0.00121 (0.00062, 0.00181)","-0.00032 (-5e-04, -0.00014)"
ms_d2,Spatial,Cold,2,Angle2-4-8,"-0.08 (-0.65, 0.37)","-0.39 (-0.62, -0.12)","-0.4 (-0.65, -0.17)","-0.48 (-0.67, -0.28)","0.00037 (3e-04, 0.00047)"
ms_d3,Spatial,Cold,3,Centroid,"4e-05 (0, 9e-05)","8e-05 (-5e-05, 0.00025)","-2e-05 (-0.00015, 9e-05)","-4e-05 (-0.00018, 8e-05)","0 (-5e-05, 4e-05)"
ms_d3,Spatial,Cold,3,Line9-10,"0.27 (-0.19, 0.8)","0.00249 (0.0019, 0.00312)","0.00017 (-0.00038, 0.00063)","0.00034 (-8e-05, 0.00077)","-0.00026 (-4e-04, -0.00011)"
ms_d3,Spatial,Cold,3,Angle7-8-9,"-0.08 (-0.63, 0.34)","0.07 (-0.18, 0.26)","0.00217 (0.00127, 0.00299)","0.00048 (2e-05, 0.00094)","-4e-05 (-0.00019, 0.00016)"
ms_d3,Spatial,Cold,3,Angle3-10-4,"-0.14 (-0.73, 0.35)","0.15 (-0.03, 0.36)","0.24 (-0.02, 0.46)","0.00193 (0.00137, 0.00253)","-0.00036 (-0.00051, -0.00021)"
ms_d3,Spatial,Cold,3,Angle2-4-8,"-0.04 (-0.5, 0.48)","-0.28 (-0.43, -0.12)","-0.04 (-0.24, 0.18)","-0.44 (-0.6, -0.28)","0.00034 (0.00026, 0.00042)"
ms_d4,Spatial,Cold,4,Centroid,"0.00027 (0.00014, 4e-04)","-6e-05 (-0.00026, 0.00013)","0.00022 (-1e-05, 0.00045)","-2e-05 (-0.00017, 0.00013)","-7e-05 (-0.00012, 0)"
ms_d4,Spatial,Cold,4,Line9-10,"-0.08 (-0.33, 0.15)","0.00262 (0.00186, 0.00345)","0.00012 (-0.00045, 8e-04)","0.00025 (-0.00015, 0.00069)","-0.00012 (-0.00027, 5e-05)"
ms_d4,Spatial,Cold,4,Angle7-8-9,"0.23 (-0.01, 0.47)","0.04 (-0.17, 0.25)","0.00353 (0.00247, 0.00465)","0 (-0.00045, 0.00049)","-0.00019 (-0.00038, 0)"
ms_d4,Spatial,Cold,4,Angle3-10-4,"-0.03 (-0.3, 0.23)","0.14 (-0.1, 0.38)","0 (-0.23, 0.25)","0.00122 (0.00076, 0.00176)","-3e-05 (-0.00015, 9e-05)"
ms_d4,Spatial,Cold,4,Angle2-4-8,"-0.34 (-0.61, -0.02)","-0.18 (-0.41, 0.04)","-0.25 (-0.49, -0.02)","-0.05 (-0.31, 0.21)","0.00017 (1e-04, 0.00023)"
ms_d5,Spatial,Cold,5,Centroid,"0.00032 (0.00016, 5e-04)","9e-05 (-0.00014, 0.00034)","9e-05 (-0.00021, 0.00034)","-3e-04 (-0.00049, -9e-05)","-4e-05 (-0.00012, 3e-05)"
ms_d5,Spatial,Cold,5,Line9-10,"0.14 (-0.28, 0.54)","0.00121 (9e-05, 0.00216)","-3e-05 (-0.00058, 0.00069)","0.00013 (-0.00029, 0.00059)","-0.00011 (-0.00028, 5e-05)"
ms_d5,Spatial,Cold,5,Angle7-8-9,"0.08 (-0.17, 0.37)","0 (-0.34, 0.37)","0.00299 (0.00204, 0.00401)","-0.00054 (-0.00107, -1e-04)","1e-05 (-0.00019, 2e-04)"
ms_d5,Spatial,Cold,5,Angle3-10-4,"-0.47 (-0.75, -0.24)","0.1 (-0.29, 0.48)","-0.27 (-0.49, -0.04)","0.0013 (0.00083, 0.00179)","-0.00012 (-0.00027, 3e-05)"
ms_d5,Spatial,Cold,5,Angle2-4-8,"-0.15 (-0.46, 0.12)","-0.21 (-0.55, 0.1)","0.01 (-0.25, 0.22)","-0.2 (-0.43, 0.07)","0.00024 (0.00017, 0.00031)"
ms_u1,Spatial,Hot,1,Centroid,"0.00018 (7e-05, 0.00029)","0.00017 (-3e-05, 0.00036)","6e-05 (-0.00012, 0.00024)","-0.00013 (-0.00028, 1e-05)","-6e-05 (-0.00011, -2e-05)"
ms_u1,Spatial,Hot,1,Line9-10,"0.33 (-0.04, 0.7)","0.0018 (0.00052, 0.00298)","0.00022 (-0.00045, 0.00083)","-0.00022 (-0.00072, 0.00022)","-0.00022 (-0.00039, -6e-05)"
ms_u1,Spatial,Hot,1,Angle7-8-9,"0.1 (-0.19, 0.37)","0.11 (-0.21, 0.4)","0.00249 (0.0018, 0.00316)","-0.00028 (-0.00069, 0.00013)","-0.00017 (-3e-04, -3e-05)"
ms_u1,Spatial,Hot,1,Angle3-10-4,"-0.3 (-0.59, 0.02)","-0.19 (-0.56, 0.21)","-0.17 (-0.41, 0.1)","0.00108 (0.00056, 0.00164)","3e-05 (-8e-05, 0.00013)"
ms_u1,Spatial,Hot,1,Angle2-4-8,"-0.43 (-0.76, -0.15)","-0.47 (-0.77, -0.18)","-0.3 (-0.54, -0.08)","0.09 (-0.21, 0.39)","0.00013 (7e-05, 0.00018)"
ms_u2,Spatial,Hot,2,Centroid,"0.00022 (0, 4e-04)","-7e-05 (-0.00029, 0.00023)","1e-04 (-0.00011, 0.00038)","-0.00019 (-0.00037, 0)","2e-05 (-4e-05, 8e-05)"
ms_u2,Spatial,Hot,2,Line9-10,"-0.1 (-0.48, 0.34)","0.00232 (0.00117, 0.00346)","0.00052 (-0.00016, 0.00115)","0.00043 (1e-05, 0.00086)","-3e-04 (-0.00045, -0.00013)"
ms_u2,Spatial,Hot,2,Angle7-8-9,"0.14 (-0.21, 0.48)","0.21 (-0.03, 0.49)","0.00275 (0.00202, 0.00365)","4e-05 (-0.00036, 0.00037)","-0.00019 (-0.00032, -4e-05)"
ms_u2,Spatial,Hot,2,Angle3-10-4,"-0.36 (-0.7, -0.07)","0.25 (0.01, 0.48)","0.02 (-0.17, 0.21)","0.00135 (0.00095, 0.0017)","-0.00022 (-0.00031, -0.00012)"
ms_u2,Spatial,Hot,2,Angle2-4-8,"0.11 (-0.22, 0.47)","-0.43 (-0.65, -0.22)","-0.25 (-0.42, -0.06)","-0.41 (-0.58, -0.23)","0.00022 (0.00017, 0.00027)"
ms_u3,Spatial,Hot,3,Centroid,"5e-05 (0, 0.00014)","-2e-05 (-0.00012, 7e-05)","-4e-05 (-0.00021, 1e-04)","-4e-05 (-0.00018, 7e-05)","1e-05 (-3e-05, 7e-05)"
ms_u3,Spatial,Hot,3,Line9-10,"-0.13 (-0.76, 0.5)","0.00059 (0, 0.00134)","0.00036 (-0.00014, 0.00093)","0.00016 (-0.00017, 0.00061)","-9e-05 (-0.00028, 8e-05)"
ms_u3,Spatial,Hot,3,Angle7-8-9,"-0.16 (-0.86, 0.44)","0.36 (-0.12, 0.88)","0.00171 (0.00075, 0.00258)","0.00047 (-2e-05, 0.00094)","-0.00032 (-0.00051, -0.00014)"
ms_u3,Spatial,Hot,3,Angle3-10-4,"-0.14 (-0.74, 0.45)","0.2 (-0.29, 0.72)","0.34 (0.01, 0.66)","0.00119 (0.00056, 0.00181)","-0.00011 (-0.00025, 3e-05)"
ms_u3,Spatial,Hot,3,Angle2-4-8,"0.1 (-0.47, 0.67)","-0.22 (-0.7, 0.28)","-0.49 (-0.74, -0.28)","-0.19 (-0.46, 0.05)","0.00026 (0.00018, 0.00033)"
ms_u4,Spatial,Hot,4,Centroid,"0.00012 (0, 0.00023)","-2e-05 (-0.00017, 0.00012)","0 (-0.00016, 0.00017)","-2e-05 (-0.00014, 9e-05)","-1e-05 (-6e-05, 6e-05)"
ms_u4,Spatial,Hot,4,Line9-10,"-0.07 (-0.55, 0.47)","9e-04 (0, 0.0017)","0.00041 (-0.00012, 0.00097)","0.00011 (-0.00021, 0.00045)","-0.00015 (-0.00033, 2e-05)"
ms_u4,Spatial,Hot,4,Angle7-8-9,"0 (-0.36, 0.42)","0.32 (-0.05, 0.73)","0.00218 (0.00135, 0.00295)","-3e-05 (-0.00041, 0.00033)","-0.00019 (-0.00035, -4e-05)"
ms_u4,Spatial,Hot,4,Angle3-10-4,"-0.06 (-0.56, 0.4)","0.13 (-0.38, 0.58)","-0.03 (-0.4, 0.28)","0.00062 (0.00014, 0.00104)","-0.00012 (-0.00025, 1e-05)"
ms_u4,Spatial,Hot,4,Angle2-4-8,"-0.03 (-0.45, 0.43)","-0.37 (-0.78, 0.01)","-0.29 (-0.54, -0.07)","-0.33 (-0.69, -0.03)","2e-04 (0.00012, 0.00027)"
ms_u5,Spatial,Hot,5,Centroid,"0.00021 (6e-05, 0.00035)","0.00011 (-9e-05, 0.00035)","4e-05 (-0.00015, 0.00024)","-7e-05 (-0.00022, 7e-05)","-2e-05 (-8e-05, 3e-05)"
ms_u5,Spatial,Hot,5,Line9-10,"0.2 (-0.17, 0.55)","0.00185 (0.00084, 0.00289)","0.00058 (0, 0.00123)","0.00026 (-0.00014, 0.00067)","-2e-04 (-0.00036, -3e-05)"
ms_u5,Spatial,Hot,5,Angle7-8-9,"0.05 (-0.25, 0.34)","0.28 (0.02, 0.54)","0.00232 (0.00158, 0.00305)","0.00043 (7e-05, 0.00078)","-0.00011 (-0.00024, 3e-05)"
ms_u5,Spatial,Hot,5,Angle3-10-4,"-0.16 (-0.53, 0.15)","0.22 (-0.13, 0.53)","0.32 (0.07, 0.61)","0.00086 (0.00046, 0.00132)","-1e-04 (-2e-04, 1e-05)"
ms_u5,Spatial,Hot,5,Angle2-4-8,"-0.12 (-0.43, 0.2)","-0.35 (-0.63, -0.09)","-0.17 (-0.4, 0.02)","-0.24 (-0.47, 0.02)","0.00019 (0.00013, 0.00025)"
mt_d1,Temporal,Cold,1,Centroid,"0.00019 (1e-05, 0.00032)","2e-05 (-0.00017, 0.00021)","-0.00011 (-0.00034, 9e-05)","-6e-05 (-2e-04, 7e-05)","1e-05 (-4e-05, 6e-05)"
mt_d1,Temporal,Cold,1,Line9-10,"0.02 (-0.32, 0.34)","0.00209 (0.0014, 0.00281)","0.00058 (4e-05, 0.00112)","-0.00037 (-0.00077, -4e-05)","0.00016 (2e-05, 0.00028)"
mt_d1,Temporal,Cold,1,Angle7-8-9,"-0.17 (-0.48, 0.18)","0.22 (0.02, 0.43)","0.0032 (0.00224, 0.004)","0.00029 (-0.00011, 0.00071)","-0.00015 (-0.00029, 1e-05)"
mt_d1,Temporal,Cold,1,Angle3-10-4,"-0.14 (-0.5, 0.14)","-0.24 (-0.47, -0.01)","0.15 (-0.05, 0.35)","0.00124 (0.00079, 0.00162)","-0.00017 (-0.00028, -7e-05)"
mt_d1,Temporal,Cold,1,Angle2-4-8,"0.08 (-0.25, 0.44)","0.29 (0.03, 0.53)","-0.21 (-0.44, 0.01)","-0.39 (-0.64, -0.17)","0.00015 (1e-04, 0.00021)"
mt_d2,Temporal,Cold,2,Centroid,"8e-05 (0, 0.00018)","6e-05 (-1e-04, 0.00026)","-0.00011 (-0.00031, 6e-05)","-9e-05 (-0.00027, 5e-05)","1e-05 (-5e-05, 7e-05)"
mt_d2,Temporal,Cold,2,Line9-10,"0.17 (-0.28, 0.69)","0.00229 (0.00129, 0.00331)","-0.00045 (-0.00106, 0.00021)","0.00018 (-0.00033, 0.00073)","0.00011 (-1e-04, 0.00029)"
mt_d2,Temporal,Cold,2,Angle7-8-9,"-0.24 (-0.69, 0.17)","-0.19 (-0.45, 0.09)","0.0026 (0.00175, 0.00351)","0.00023 (-0.00028, 0.00071)","-0.00013 (-0.00034, 6e-05)"
mt_d2,Temporal,Cold,2,Angle3-10-4,"-0.27 (-0.73, 0.19)","0.08 (-0.23, 0.35)","0.12 (-0.15, 0.36)","0.00145 (0.00082, 0.002)","-0.00024 (-0.00038, -6e-05)"
mt_d2,Temporal,Cold,2,Angle2-4-8,"0.12 (-0.36, 0.57)","0.16 (-0.13, 0.44)","-0.17 (-0.46, 0.04)","-0.39 (-0.64, -0.16)","0.00025 (0.00016, 0.00034)"
mt_d3,Temporal,Cold,3,Centroid,"0.00012 (0, 0.00021)","-6e-05 (-0.00025, 0.00013)","-2e-05 (-0.00021, 0.00017)","-2e-05 (-0.00018, 0.00015)","-5e-05 (-0.00012, 1e-05)"
mt_d3,Temporal,Cold,3,Line9-10,"-0.11 (-0.49, 0.29)","0.00252 (0.0017, 0.00326)","0.00052 (-7e-05, 0.00107)","-0.00036 (-0.00082, 8e-05)","1e-05 (-0.00018, 0.00017)"
mt_d3,Temporal,Cold,3,Angle7-8-9,"-0.04 (-0.47, 0.33)","0.21 (-0.01, 0.43)","0.00244 (0.00163, 0.00317)","4e-05 (-0.00042, 0.00048)","-0.00023 (-0.00042, -8e-05)"
mt_d3,Temporal,Cold,3,Angle3-10-4,"-0.03 (-0.42, 0.42)","-0.19 (-0.44, 0.04)","0.02 (-0.2, 0.28)","0.00159 (0.00096, 0.00217)","-0.00018 (-0.00033, -3e-05)"
mt_d3,Temporal,Cold,3,Angle2-4-8,"-0.34 (-0.76, 0.05)","0.03 (-0.2, 0.25)","-0.3 (-0.53, -0.11)","-0.28 (-0.51, -0.06)","0.00025 (0.00017, 0.00034)"
mt_d4,Temporal,Cold,4,Centroid,"8e-05 (0, 0.00016)","1e-04 (-7e-05, 0.00027)","0.00015 (-4e-05, 0.00035)","-9e-05 (-2e-04, 6e-05)","-5e-05 (-0.00011, 1e-05)"
mt_d4,Temporal,Cold,4,Line9-10,"0.21 (-0.18, 0.57)","0.00292 (0.00205, 0.0038)","0.00043 (-2e-04, 0.00107)","-0.00019 (-0.00062, 0.00032)","-2e-05 (-0.00023, 0.00017)"
mt_d4,Temporal,Cold,4,Angle7-8-9,"0.31 (-0.05, 0.71)","0.14 (-0.06, 0.37)","0.0031 (0.00202, 0.00413)","-0.00082 (-0.0013, -0.00031)","-3e-05 (-0.00024, 0.00016)"
mt_d4,Temporal,Cold,4,Angle3-10-4,"-0.27 (-0.68, 0.16)","-0.11 (-0.35, 0.15)","-0.42 (-0.67, -0.2)","0.00126 (0.00084, 0.00178)","-0.00012 (-0.00026, 3e-05)"
mt_d4,Temporal,Cold,4,Angle2-4-8,"-0.33 (-0.76, 0.04)","-0.02 (-0.23, 0.2)","-0.04 (-0.26, 0.17)","-0.19 (-0.41, 0.02)","3e-04 (0.00021, 0.00039)"
mt_d5,Temporal,Cold,5,Centroid,"0.00031 (0.00019, 0.00043)","0.00029 (0.00011, 0.00049)","0.00016 (-2e-05, 0.00034)","-0.00022 (-0.00035, -3e-05)","2e-05 (-4e-05, 8e-05)"
mt_d5,Temporal,Cold,5,Line9-10,"0.39 (0.18, 0.64)","0.00188 (0.00122, 0.00261)","0.00073 (3e-04, 0.00124)","-8e-05 (-5e-04, 0.00027)","-3e-05 (-0.00019, 0.00011)"
mt_d5,Temporal,Cold,5,Angle7-8-9,"0.19 (-0.03, 0.38)","0.36 (0.13, 0.57)","0.00223 (0.00163, 0.00284)","-0.00039 (-0.00078, 2e-05)","-0.00025 (-0.00041, -0.00011)"
mt_d5,Temporal,Cold,5,Angle3-10-4,"-0.3 (-0.52, -0.11)","-0.05 (-0.29, 0.16)","-0.21 (-0.43, -0.01)","0.00169 (0.00122, 0.00219)","-2e-04 (-0.00035, -8e-05)"
mt_d5,Temporal,Cold,5,Angle2-4-8,"0.07 (-0.13, 0.3)","-0.04 (-0.26, 0.13)","-0.3 (-0.47, -0.11)","-0.27 (-0.44, -0.11)","0.00031 (0.00024, 0.00039)"
mt_u1,Temporal,Hot,1,Centroid,"0.00031 (0.00014, 0.00047)","2e-05 (-0.00026, 3e-04)","8e-05 (-1e-04, 0.00032)","-9e-05 (-0.00025, 0.00011)","4e-05 (-3e-05, 1e-04)"
mt_u1,Temporal,Hot,1,Line9-10,"0.02 (-0.23, 0.3)","0.0041 (0.00262, 0.00532)","-1e-05 (-6e-04, 7e-04)","0.00052 (-6e-05, 0.00106)","-0.00036 (-0.00057, -0.00017)"
mt_u1,Temporal,Hot,1,Angle7-8-9,"0.11 (-0.16, 0.41)","-0.01 (-0.24, 0.24)","0.00185 (0.00119, 0.00255)","-0.00058 (-0.00094, -0.00018)","-6e-05 (-0.00021, 8e-05)"
mt_u1,Temporal,Hot,1,Angle3-10-4,"-0.13 (-0.38, 0.19)","0.22 (0.01, 0.48)","-0.38 (-0.62, -0.13)","0.00129 (0.00082, 0.0018)","-3e-05 (-0.00015, 8e-05)"
mt_u1,Temporal,Hot,1,Angle2-4-8,"0.15 (-0.14, 0.42)","-0.43 (-0.66, -0.21)","-0.1 (-0.34, 0.17)","-0.05 (-0.31, 0.19)","0.00018 (0.00011, 0.00024)"
mt_u2,Temporal,Hot,2,Centroid,"2e-04 (6e-05, 0.00033)","-1e-04 (-3e-04, 1e-04)","-0.00012 (-3e-04, 3e-05)","-0.00012 (-0.00028, 2e-05)","5e-05 (-1e-05, 0.00011)"
mt_u2,Temporal,Hot,2,Line9-10,"-0.24 (-0.76, 0.21)","0.00101 (0, 0.00218)","3e-04 (-1e-04, 0.00084)","2e-04 (-0.00022, 7e-04)","-0.00012 (-0.00032, 6e-05)"
mt_u2,Temporal,Hot,2,Angle7-8-9,"-0.27 (-0.67, 0.05)","0.3 (-0.11, 0.76)","0.0012 (0.00062, 0.00179)","0.00028 (-4e-05, 0.00066)","-2e-04 (-0.00036, -7e-05)"
mt_u2,Temporal,Hot,2,Angle3-10-4,"-0.25 (-0.55, 0.02)","0.2 (-0.22, 0.64)","0.24 (-0.02, 0.52)","0.00126 (0.00082, 0.00172)","-0.00012 (-0.00025, 0)"
mt_u2,Temporal,Hot,2,Angle2-4-8,"0.29 (-0.08, 0.59)","-0.31 (-0.77, 0.13)","-0.44 (-0.76, -0.2)","-0.25 (-0.5, -0.03)","0.00018 (0.00011, 0.00026)"
mt_u3,Temporal,Hot,3,Centroid,"1e-04 (0, 0.00025)","2e-05 (-0.00022, 0.00032)","-2e-05 (-0.00023, 0.00018)","-7e-05 (-0.00025, 9e-05)","0 (-5e-05, 8e-05)"
mt_u3,Temporal,Hot,3,Line9-10,"0.04 (-0.45, 0.63)","0.00314 (0.00167, 0.00481)","0.00046 (-0.00031, 0.00133)","0.00062 (7e-05, 0.00134)","-0.00015 (-0.00045, 9e-05)"
mt_u3,Temporal,Hot,3,Angle7-8-9,"-0.03 (-0.57, 0.49)","0.17 (-0.14, 0.49)","0.00205 (0.00114, 0.00299)","0.00011 (-0.00037, 0.00063)","-3e-05 (-0.00027, 0.00016)"
mt_u3,Temporal,Hot,3,Angle3-10-4,"-0.17 (-0.76, 0.31)","0.3 (0.04, 0.64)","0.06 (-0.22, 0.38)","0.00143 (0.00076, 0.00197)","-0.00014 (-0.00031, 4e-05)"
mt_u3,Temporal,Hot,3,Angle2-4-8,"0.02 (-0.5, 0.58)","-0.22 (-0.61, 0.13)","-0.05 (-0.45, 0.28)","-0.26 (-0.57, 0.02)","0.00018 (7e-05, 0.00028)"
mt_u4,Temporal,Hot,4,Centroid,"0.00012 (0, 0.00023)","8e-05 (-0.00012, 0.00028)","-7e-05 (-0.00025, 1e-04)","-6e-05 (-0.00021, 7e-05)","2e-05 (-2e-05, 8e-05)"
mt_u4,Temporal,Hot,4,Line9-10,"0.19 (-0.35, 0.72)","0.00139 (0, 0.00263)","6e-05 (-0.00056, 0.00068)","0.00038 (-0.00014, 0.00089)","1e-05 (-0.00015, 0.00022)"
mt_u4,Temporal,Hot,4,Angle7-8-9,"-0.14 (-0.56, 0.23)","0.03 (-0.36, 0.48)","0.002 (0.00124, 0.0027)","-3e-05 (-0.00041, 0.00035)","-7e-05 (-0.00022, 7e-05)"
mt_u4,Temporal,Hot,4,Angle3-10-4,"-0.19 (-0.6, 0.31)","0.33 (-0.04, 0.8)","-0.01 (-0.29, 0.28)","0.00098 (0.00056, 0.00139)","-1e-04 (-0.00021, 0)"
mt_u4,Temporal,Hot,4,Angle2-4-8,"0.17 (-0.21, 0.58)","0.04 (-0.38, 0.45)","-0.11 (-0.35, 0.13)","-0.24 (-0.47, 0)","0.00018 (0.00013, 0.00024)"
mt_u5,Temporal,Hot,5,Centroid,"7e-05 (0, 0.00018)","-2e-05 (-0.00022, 0.00018)","3e-05 (-1e-04, 0.00017)","1e-05 (-0.00013, 0.00012)","0 (-4e-05, 5e-05)"
mt_u5,Temporal,Hot,5,Line9-10,"0 (-0.52, 0.57)","0.00335 (0.00233, 0.00448)","0.00019 (-0.00041, 0.00073)","0.00099 (0.00053, 0.00151)","-0.00043 (-6e-04, -0.00026)"
mt_u5,Temporal,Hot,5,Angle7-8-9,"0.1 (-0.35, 0.61)","0.08 (-0.17, 0.32)","0.00163 (0.00104, 0.00224)","-0.00014 (-0.00048, 0.00022)","-8e-05 (-0.00022, 5e-05)"
mt_u5,Temporal,Hot,5,Angle3-10-4,"0.03 (-0.46, 0.59)","0.5 (0.28, 0.71)","-0.09 (-0.34, 0.16)","0.00123 (0.00074, 0.00168)","-0.00015 (-0.00026, -3e-05)"
mt_u5,Temporal,Hot,5,Angle2-4-8,"0 (-0.48, 0.53)","-0.52 (-0.75, -0.34)","-0.14 (-0.38, 0.09)","-0.3 (-0.53, -0.08)","0.00021 (0.00014, 0.00027)"